AGE,YEARS_OF_EXPERIENCE,CURRENT_SALARY
60,7,196110
50,0,104635
36,11,124227
64,17,91097
29,3,89662
42,7,109845
60,8,186379
40,3,148160
44,21,107903
32,8,76966
32,1,178295
45,18,175739
57,27,123341
61,2,159303
45,0,181231
24,0,41427
43,6,43099
23,0,31146
45,16,166626
51,19,42747
59,1,127076
23,0,123443
42,20,52482
54,26,81557
33,3,174449
43,14,31412
46,18,76286
48,8,82536
63,0,153247
49,24,104532
37,5,178325
36,11,80850
24,1,53183
58,21,104376
28,2,101061
42,4,162570
30,3,96891
60,21,106740
39,3,158865
25,0,175165
46,12,103202
35,1,169909
30,5,91871
47,11,92630
23,1,186947
41,1,101317
49,23,40425
28,3,132113
29,1,83665
56,24,51919
35,1,155763
38,9,131596
57,23,66910
61,36,93121
25,1,66116
23,0,99579
27,0,48361
63,14,167148
25,2,88339
50,2,90219
39,7,72982
47,3,140827
55,24,170891
31,4,48427
57,29,110977
35,10,90752
52,26,72449
36,5,153725
29,2,181339
35,5,55119
44,11,44156
61,13,181928
42,8,79369
37,2,67461
39,5,45902
45,17,183984
47,23,80895
46,7,182216
62,10,169403
50,14,78296
36,6,47483
22,0,106013
46,20,186907
28,5,141562
30,8,63344
45,7,33845
22,0,48500
29,0,48770
45,7,145639
32,0,31774
38,10,96628
29,6,184219
56,17,170188
56,4,155190
54,13,111769
26,4,179082
63,20,37059
60,13,83389
62,31,178511
49,12,69440
28,5,169692
30,7,126027
29,2,66810
33,4,69341
55,8,176780
54,15,69510
44,17,120554
45,17,97885
58,16,96037
56,27,118213
61,37,95861
43,12,81407
48,11,166699
56,14,111112
22,0,171538
56,32,174336
58,31,97218
35,1,150706
24,0,39113
22,0,32087
26,1,102542
47,20,76640
35,2,73702
60,27,146303
48,19,138395
30,1,44889
36,6,101854
36,6,59088
47,19,91928
63,29,160223
34,8,152444
53,16,89041
60,35,154090
53,0,63079
25,0,173755
51,21,175912
58,34,137475
44,8,189679
60,21,66780
36,1,62479
64,18,40326
50,13,147537
57,10,124386
34,7,41896
53,0,164107
28,5,84092
43,8,56916
49,16,191897
23,0,148115
63,32,93723
27,0,110383
49,27,104672
49,20,88259
41,9,168795
51,26,154890
32,10,40159
49,16,71124
46,19,164243
60,12,87147
54,9,96368
22,0,112441
48,24,129815
34,2,32929
62,34,59304
24,2,130361
60,0,75201
27,4,73513
29,5,90266
48,15,131914
30,0,136646
58,7,178252
54,23,177085
63,19,106620
45,7,197179
36,0,136304
53,15,178502
53,5,69675
45,2,102100
62,31,156574
33,1,181704
60,34,162932
23,0,72699
24,0,40860
58,30,106320
38,5,143674
23,1,70764
23,1,96417
49,6,185684
44,17,118589
58,12,117633
53,19,169095
54,25,130328
22,0,162724
40,14,116999
23,1,84596
47,3,76018
53,15,43495
27,1,44737
53,4,145324
25,2,128705
32,0,196674
38,7,165809
59,37,144875
45,7,68221
26,0,195981
55,4,136885
27,5,162695
43,20,102108
32,0,90629
37,7,118366
54,4,133145
30,0,40809
27,2,101749
37,2,47246
50,16,46657
24,0,182000
41,8,185174
57,31,172684
40,6,152103
47,17,95326
24,0,172861
40,18,74221
41,18,81038
53,30,125628
28,1,140397
62,30,47514
54,26,92871
61,12,90887
